"row ID","cluster_11","cluster_28","cluster_24","cluster_1","cluster_12","cluster_2","cluster_23","cluster_26","cluster_21","cluster_13","cluster_5","cluster_18","cluster_0","cluster_29","cluster_19","cluster_6","cluster_16","cluster_27","cluster_10","cluster_17","cluster_14","cluster_20","cluster_4","cluster_8","cluster_7","cluster_22","cluster_25","cluster_9","cluster_15","cluster_3"
"2009-07-15_00",0.19878571428571426,18.358,0.77745,2.4882653061224485,9.594551724137924,0.4625147058823529,0.39171052631578923,3.2540853658536584,0.3573863636363636,0.8301875000000006,4.7244574468085085,1.0314962962962968,0.45519083969465657,0.6528493975903619,1.0675529411764704,0.5260574712643681,0.49136723163841833,0.45589839572192553,0.6718237704918032,0.5593557312252962,0.8973837638376387,0.5987275362318834,0.9206951566951556,0.8752647887323931,0.8459831932773111,0.6587263922518156,1.3824760765550244,1.0377018348623834,1.0905142857142873,0.947525911708253
"2009-07-15_01",0.1710714285714286,16.028357142857136,0.5912750000000001,2.7476326530612236,7.681775862068964,0.2603382352941176,0.3988157894736843,3.1975609756097567,0.36449999999999994,0.48525,4.353159574468086,1.0034592592592593,0.34130534351145064,0.45722289156626506,0.8171588235294117,0.3141321839080457,0.3370847457627122,0.37452406417112283,0.4548729508196722,0.3336324110671935,0.6126199261992623,0.3954985507246377,0.5611196581196578,0.6504929577464788,0.5873249299719894,0.4380290556900729,0.9726650717703358,0.730954128440367,0.781936734693878,0.5809750479846446
"2009-07-15_02",0.16199999999999998,15.065392857142854,0.4839,2.497571428571428,6.972241379310343,0.29650000000000015,0.396171052631579,3.038390243902439,0.3616590909090909,0.36352083333333324,3.739829787234043,0.9962518518518526,0.28278625954198505,0.35269879518072283,0.6702823529411771,0.22938505747126428,0.30040112994350276,0.3087593582887701,0.41113524590163925,0.2806600790513836,0.49068265682656825,0.32408695652173936,0.4262421652421655,0.5228647887323941,0.4999775910364148,0.34650121065375317,0.696607655502392,0.518665137614679,0.5951285714285713,0.45221305182341615
"2009-07-15_03",0.1895714285714286,15.304214285714282,0.353325,2.404,6.804086206896549,0.24717647058823508,0.3996447368421051,3.0297560975609765,0.3494886363636363,0.2930416666666666,3.4169574468085115,0.9874222222222226,0.2542137404580152,0.328265060240964,0.5291117647058827,0.20864367816091964,0.2777288135593219,0.2911069518716579,0.3871229508196718,0.2471976284584982,0.45726199261992645,0.30351884057971007,0.376581196581197,0.46995211267605635,0.4621204481792713,0.3343462469733653,0.5631220095693771,0.42376834862385326,0.5311959183673467,0.4164376199616122
"2009-07-15_04",0.32092857142857145,15.28410714285714,0.37862500000000016,2.156265306122448,6.59508620689655,0.2521323529411765,0.4110394736842105,3.005634146341463,0.3470568181818181,0.2771354166666667,3.198978723404254,0.9912666666666666,0.2796641221374047,0.3262409638554217,0.527658823529412,0.2030747126436783,0.25531638418079106,0.27884491978609616,0.3550450819672131,0.24489328063241117,0.447911439114391,0.2830724637681157,0.35935897435897457,0.4859915492957751,0.46390196078431384,0.3142348668280873,0.5358229665071778,0.38256880733944953,0.502775510204082,0.39807869481765784
"2009-07-15_05",0.7546428571428574,15.539178571428574,0.34635,1.987408163265306,6.3442413793103425,0.26151470588235287,0.3948815789473685,2.965024390243902,0.335659090909091,0.25486458333333334,3.252148936170213,0.9637259259259261,0.30641221374045813,0.32985542168674725,0.48767647058823543,0.23460919540229902,0.3300621468926557,0.2858021390374332,0.39752049180327864,0.24962450592885382,0.43867896678966795,0.31351594202898575,0.3751168091168092,0.5076366197183096,0.47032773109243714,0.31308232445520595,0.49427990430622004,0.3823371559633026,0.4727489795918369,0.409213051823416
"2009-07-15_06",2.0460714285714277,15.966285714285718,0.49434999999999996,1.7986734693877553,6.089551724137928,0.19926470588235293,0.4182631578947367,2.8818414634146343,0.36131818181818176,0.37027083333333366,3.0776063829787232,0.9379111111111115,0.5141068702290078,0.35158433734939776,0.5087941176470587,0.2627471264367817,0.46804519774011316,0.3020695187165775,0.4376188524590166,0.2635494071146246,0.6059889298892988,0.40472753623188434,0.45152136752136773,0.46569014084507004,0.5895182072829133,0.378992736077482,0.51844976076555,0.39308256880734016,0.528673469387756,0.4194088291746638
"2009-07-15_07",3.9285,19.601392857142862,0.56955,1.48030612244898,7.237793103448273,0.5675441176470585,0.6617499999999997,4.024280487804879,0.3533636363636362,0.5518020833333329,3.3631914893616996,0.9731851851851853,1.1895038167938936,0.4610783132530121,0.5693176470588237,0.4317183908045974,1.0951299435028246,0.45782887700534736,0.5434549180327867,0.4092332015810278,0.9748782287822877,0.5804753623188414,0.6665498575498577,0.5245042253521133,1.0053809523809518,0.5085375302663435,0.5337631578947364,0.47845642201834854,0.6485142857142853,0.5130671785028785
"2009-07-15_08",3.234714285714286,25.82632142857143,0.8848999999999997,1.415224489795919,10.093034482758618,0.9995294117647058,2.047131578947369,6.899853658536587,0.5942727272727273,0.6055416666666665,4.025712765957448,1.5399851851851842,1.4292595419847343,0.6560783132530122,0.5792294117647062,0.5642413793103453,1.433401129943502,0.9259144385026739,0.9115327868852452,0.6004664031620555,1.0926974169741697,0.7162231884057972,0.8190313390313382,0.6824366197183103,1.4132296918767493,0.9060750605326875,0.5950550239234446,0.6060894495412849,0.7897448979591838,0.7319769673704403
"2009-07-15_09",1.8319285714285722,30.965214285714286,1.0263249999999997,1.8825714285714281,12.280310344827583,1.707882352941176,5.103934210526312,11.495024390243897,2.3275795454545465,0.5513020833333333,4.989351063829785,3.2888888888888888,0.7999618320610695,0.9305542168674705,0.5747882352941176,0.5584655172413793,1.237627118644068,1.6415668449197853,1.1730532786885246,0.9697233201581029,0.8578708487084876,1.012466666666668,0.6645641025641017,0.7028647887323946,1.239966386554622,1.1879612590799022,0.7242296650717704,0.7698004587155965,1.1092714285714267,0.9456103646833015
"2009-07-15_10",0.2234285714285714,35.67092857142856,0.9763250000000003,2.5488979591836727,13.891844827586201,2.0256323529411766,6.592342105263158,14.180426829268292,4.909465909090907,0.40743749999999995,5.484957446808511,4.236762962962964,0.7033893129770995,1.1086686746987966,0.5521176470588235,0.5133218390804598,0.9580734463276837,1.5464812834224608,1.1132418032786893,1.077332015810276,0.6306088560885614,0.9944956521739131,0.6525327635327632,0.8281352112676053,1.09912324929972,1.1837070217917671,0.7961100478468905,0.8225275229357805,1.2369897959183704,0.9184913627639152
"2009-07-15_11",0.42585714285714305,39.06414285714285,1.045475,2.672387755102041,15.060879310344825,1.8712500000000003,6.765618421052632,15.32126829268293,5.77530681818182,0.34685416666666674,5.717819148936169,4.490688888888894,0.5827786259541987,1.2647228915662658,0.5348764705882355,0.5524137931034487,0.9180960451977405,1.4580267379679142,1.1792090163934443,1.1054268774703557,0.6394317343173428,0.8719913043478262,0.6865868945868954,0.829461971830986,1.1573725490196058,1.2494092009685234,0.8111650717703354,0.9470779816513767,1.2811224489795923,0.8770844529750479
"2009-07-15_12",0.5795,40.27875,0.8265750000000001,2.35661224489796,16.174448275862066,1.7318970588235294,6.317486842105259,15.046780487804883,6.01373863636363,0.54596875,6.06958510638298,4.579851851851854,0.5610000000000004,1.4219036144578319,0.5276823529411767,0.601994252873564,0.8677457627118652,1.4969518716577528,1.1681844262295085,1.104656126482213,0.6613874538745392,0.8573043478260872,0.7242051282051273,0.815476056338028,1.152016806722688,1.201731234866827,0.9588444976076554,1.0326123853211007,1.258530612244898,0.8669654510556617
"2009-07-15_13",0.4198571428571429,40.03710714285713,0.73205,2.192448979591836,15.786310344827575,1.1981029411764708,5.688921052631576,14.585280487804875,5.497477272727272,0.6259166666666666,6.348968085106382,4.244992592592593,0.583984732824428,1.8336987951807242,0.5570470588235297,0.5908620689655171,0.9884971751412431,1.419967914438503,1.0871762295081964,1.1202371541501965,0.6835904059040593,0.8495449275362315,0.7591652421652426,0.8279295774647887,1.4052268907563024,1.163043583535109,1.0023755980861249,1.2583142201834854,1.410842857142858,0.8018733205374277
"2009-07-15_14",0.3494285714285714,39.374785714285714,0.7301500000000003,2.355469387755102,15.277137931034485,1.0608088235294115,5.48740789473684,14.03701219512195,5.261727272727272,0.47678124999999993,6.153989361702128,4.318837037037037,0.47233587786259545,1.4533313253012043,0.47815294117647056,0.5864540229885055,0.7264067796610172,1.2112566844919792,0.9499016393442622,1.0826007905138328,0.6741771217712176,0.7088376811594193,0.6537777777777786,0.7695436619718314,1.1233641456582644,1.0701937046004857,0.9847272727272727,1.247098623853209,1.271440816326531,0.7971823416506717
"2009-07-15_15",0.3346428571428572,39.3655,0.636525,2.4254081632653057,15.281810344827578,0.8988676470588227,5.5004605263157895,14.280475609756099,5.651022727272728,0.48193749999999985,6.051436170212764,4.64171851851852,0.4906335877862596,1.4851927710843376,0.5076235294117649,0.5237471264367818,0.6483785310734466,1.042379679144385,0.8948237704918037,1.0641185770750998,0.6103985239852401,0.6921594202898551,0.7279145299145298,0.7215014084507047,1.1317226890756305,0.9141355932203393,0.9617177033492825,1.196678899082568,1.2032530612244903,0.7296775431861797
"2009-07-15_16",0.488,37.614178571428575,0.7303749999999999,2.3296326530612244,15.91336206896551,0.7414264705882352,5.431684210526317,13.888646341463412,5.710136363636364,0.7700624999999999,6.133042553191486,4.7147555555555565,0.5390839694656491,1.8534216867469888,0.4925352941176473,0.7181781609195405,0.6878305084745764,1.1116096256684493,0.8274754098360662,1.2183715415019778,0.6162140221402217,0.8215536231884054,0.7133789173789173,0.726197183098592,1.223899159663866,0.9949443099273604,0.988588516746411,1.2735068807339458,1.2017591836734693,0.718418426103647
"2009-07-15_17",1.4879285714285717,35.39299999999999,0.74175,1.6438367346938774,15.358931034482751,0.9619117647058822,4.491092105263158,12.341646341463413,5.425920454545459,1.2225312499999996,5.997095744680853,3.9392518518518522,1.0408778625954211,1.5396686746987962,0.5278647058823533,1.262080459770115,0.9343220338983049,1.4106951871657758,0.7751967213114751,1.7795849802371542,0.711878228782288,1.2901942028985516,1.0362336182336185,0.7622760563380283,1.6272997198879544,1.3848256658595646,1.2744999999999989,1.5857889908256881,1.3195428571428567,0.930618042226488
"2009-07-15_18",1.495428571428571,30.264071428571416,0.7077249999999998,0.9924693877551019,15.017431034482758,0.8296764705882352,1.8030789473684212,8.240280487804881,3.018352272727274,1.5408229166666658,5.722031914893619,2.2801703703703726,1.1623893129770995,1.5223132530120485,0.6972117647058821,1.4680287356321853,1.202112994350283,1.2383475935828867,0.903209016393443,1.8002569169960472,0.9099261992619934,1.7313884057971023,1.6486039886039876,0.7905267605633799,1.8838235294117647,1.4922372881355943,1.3217703349282275,1.6732408256880722,1.3907755102040809,1.2642725527831107
"2009-07-15_19",1.4544285714285714,27.12057142857143,0.6775749999999999,1.1217346938775512,14.162344827586201,0.6607499999999997,1.3312105263157892,5.238841463414633,0.8865909090909089,1.461354166666667,5.686340425531914,1.5117407407407428,1.2663129770992376,1.474644578313253,0.7749176470588237,1.4992183908045988,1.0425649717514132,1.2494331550802131,0.9286106557377048,1.465375494071147,0.9710738007380081,1.5977275362318837,1.5692108262108264,0.7836253521126763,1.5755154061624668,1.3716053268765158,1.3854043062200958,1.5886628440366983,1.2426571428571425,1.29124952015355
